title,mantra,number
Karika Upanishad,बहिःप्रज्ञो विभुर्विश्वो ह्यन्तःप्रज्ञस्तु तैजसः ।घनप्रज्ञस्तथा प्राज्ञ एक एव त्रिधा स्थितः ।। 1.1.1 ।।,।। 1.1.1 ।।
Karika Upanishad,दक्षिणाक्षिमुखे विश्वो मनस्यन्तस्तु तैजसः ।आकाशे च हृदि प्राज्ञस्त्रिधा देहे व्यवस्थितः ।। 1.1.2 ।।,।। 1.1.2 ।।
Karika Upanishad,विश्वो हि स्थूलभुङ् नित्यं तैजसः प्रविविक्तभुक् ।आनन्दभुक्तथा प्राज्ञस्त्रिधा भोगं निबोधत ।। 1.1.3 ।।,।। 1.1.3 ।।
Karika Upanishad,स्थूलं तर्पयते विश्वं प्रविविक्तं तु तैजसम् ।आनन्दश्च तथा प्राज्ञं त्रिधा तृप्तिं निबोधत ।। 1.1.4 ।।,।। 1.1.4 ।।
Karika Upanishad,त्रिषु धामसु यद्भोज्यं भोक्ता यश्च प्रकीर्तितः ।वेदैतदुभयं यस्तु स भुञ्जानो न लिप्यते ।। 1.1.5 ।।,।। 1.1.5 ।।
Karika Upanishad,प्रभवः सर्वभावानां सतामिति विनिश्चयः ।सर्वं जनयति प्राणश्चेतोंशून्पुरुषः पृथक ।। 1.1.6 ।।,।। 1.1.6 ।।
Karika Upanishad,विभूतिं प्रसवं त्वन्ये मन्यन्ते सृष्टिचिन्तकाः ।स्वप्नमायासरूपेति सृष्टिरन्यैर्विकल्पिता ।। 1.1.7 ।।,।। 1.1.7 ।।
Karika Upanishad,इच्छामात्रं प्रभोः सृष्टिरिति सृष्टौ विनिश्चिताः ।कालात्प्रसूतिं भूतानां मन्यन्ते कालचिन्तकाः ।। 1.1.8 ।।,।। 1.1.8 ।।
Karika Upanishad,भोगार्थं सृष्टिरित्यन्ये क्रीडार्थमिति चापरे ।देवस्यैष स्वभावोऽयमाप्तकामस्य का स्पृहा ।। 1.1.9 ।।  इति,।। 1.1.9 ।।
Karika Upanishad,निवृत्तेः सर्वदुःखानामीशानः प्रभुरव्ययः ।अद्वैतः सर्वभावानां देवस्तुर्यो विभुः स्मृतः ।। 1.1.10 ।।,।। 1.1.10 ।।
Karika Upanishad,कार्यकारणबद्धौ ताविष्येते विश्वतैजसौ ।प्राज्ञः कारणबद्धस्तु द्वौ तौ तुर्ये न सिध्यतः ।। 1.1.11 ।।,।। 1.1.11 ।।
Karika Upanishad,नात्मानं न परं चैव न सत्यं नापि चानृतम् ।प्राज्ञः किंचन संवेत्ति तुर्यं तत्सर्वदृक्सदा ।। 1.1.12 ।।,।। 1.1.12 ।।
Karika Upanishad,द्वैतस्याग्रहणं तुल्यमुभयोः प्राज्ञतुर्ययोः ।बीजनिद्रायुतः प्राज्ञः सा च तुर्ये न विद्यते ।। 1.1.13 ।।,।। 1.1.13 ।।
Karika Upanishad,स्वप्ननिद्रायुतावाद्यौ प्राज्ञस्त्वस्वप्ननिद्रया ।न निद्रां नैव च स्वप्नं तुर्ये पश्यन्ति निश्चिताः ।। 1.1.14 ।।,।। 1.1.14 ।।
Karika Upanishad,अन्यथा गृह्णतः स्वप्नो निद्रा तत्त्वमजानतः ।विपर्यासे तयोः क्षीणे तुरीयं पदमश्नुते ।। 1.1.15 ।।,।। 1.1.15 ।।
Karika Upanishad,अनादिमायया सुप्तो यदा जीवः प्रबुध्यते ।अजमनिद्रमस्वप्नमद्वैतं बुध्यते तदा ।। 1.1.16 ।।,।। 1.1.16 ।।
Karika Upanishad,प्रपञ्चो यदि विद्येत निवर्तेत न संशयः ।मायामात्रमिदं द्वैतमद्वैतं परमार्थतः ।। 1.1.17 ।।,।। 1.1.17 ।।
Karika Upanishad,विकल्पो विनिवर्तेत कल्पितो यदि केनचित् ।उपदेशादयं वादो ज्ञाते द्वैतं न विद्यते ।। 1.1.18 ।।,।। 1.1.18 ।।
Karika Upanishad,विश्वस्यात्वविवक्षायामादिसामान्यमुत्कटम् ।मात्रासंप्रतिपत्तौ स्यादाप्तिसामान्यमेव च ।। 1.1.19 ।।,।। 1.1.19 ।।
Karika Upanishad,तैजसस्योत्वविज्ञान उत्कर्षो दृश्यते स्फुटम् ।मात्रासंप्रतिपत्तौ स्यादुभयत्वं तथाविधम् ।। 1.1.20 ।।,।। 1.1.20 ।।
Karika Upanishad,मकारभावे प्राज्ञस्य मानसामान्यमुत्कटम् ।मात्रासंप्रतिपत्तौ तु लयसामान्यमेव च ।। 1.1.21 ।।,।। 1.1.21 ।।
Karika Upanishad,त्रिषु धामसु यस्तुल्यं सामान्यं वेत्ति निश्चितः ।स पूज्यः सर्वभूतानां वन्द्यश्चैव महामुनिः ।। 1.1.22 ।।,।। 1.1.22 ।।
Karika Upanishad,अकारो नयते विश्वमुकारश्चापि तैजसम् ।मकारश्च पुनः प्राज्ञं नामात्रे विद्यते गतिः ।। 1.1.23 ।। इति,।। 1.1.23 ।।
Karika Upanishad,ओंकारं पादशो विद्यात्पादा मात्रा न संशयः ।ओंकारं पादशो ज्ञात्वा न किंचिदपि चिन्तयेत् ।। 1.1.24 ।।,।। 1.1.24 ।।
Karika Upanishad,युञ्जीत प्रणवे चेतः प्रणवो ब्रह्म निर्भयम् ।प्रणवे नित्ययुक्तस्य न भयं विद्यते क्वचित् ।। 1.1.25 ।।,।। 1.1.25 ।।
Karika Upanishad,प्रणवो ह्यपरं ब्रह्म प्रणवश्च परं स्मृतः ।अपूर्वोऽनन्तरोऽबाह्योऽनपरः प्रणवोऽव्ययः ।। 1.1.26 ।।,।। 1.1.26 ।।
Karika Upanishad,सर्वस्य प्रणवो ह्यादिर्मध्यमन्तस्तथैव च ।एवं हि प्रणवं ज्ञात्वा व्यश्नुते तदनन्तरम् ।। 1.1.27 ।।,।। 1.1.27 ।।
Karika Upanishad,प्रणवं हीश्वरं विद्यात्सर्वस्य हृदये स्थितम् ।सर्वव्यापिनमोंकारं मत्वा धीरो न शोचति ।। 1.1.28 ।।,।। 1.1.28 ।।
Karika Upanishad,अमात्रोऽनन्तमात्रश्च द्वैतस्योपशमः शिवः ।ओंकारो विदितो येन स मुनिर्नेतरो जनः ।। 1.1.29 ।।,।। 1.1.29 ।।
Karika Upanishad,इति प्रथममागमप्रकरणं संपूर्णम् ।।,
Karika Upanishad,वैतथ्यं सर्वभावानां स्वप्न आहुर्मनीषिणः ।अन्तःस्थानात्तु भावानां संवृतत्वेन हेतुना ।। 2.1.1 ।।,।। 2.1.1 ।।
Karika Upanishad,अदीर्घत्वाच्च कालस्य गत्वा देहान्न पश्यति।प्रतिबुद्धश्च वै सर्वस्तस्मिन्देशे न विद्यते ।। 2.1.2 ।।,।। 2.1.2 ।।
Karika Upanishad,अभावश्च रथादीनां श्रूयते न्यायपूर्वकम् ।वैतथ्यं तेन वै प्राप्तं स्वप्न आहुः प्रकाशितम् ।। 2.1.3 ।।,।। 2.1.3 ।।
Karika Upanishad,अन्तःस्थानात्तु भेदानां तस्माज्जागरिते स्मृतम् ।यथा तत्र तथा स्वप्ने संवृतत्वेन भिद्यते ।। 2.1.4 ।।,।। 2.1.4 ।।
Karika Upanishad,स्वप्नजागरिते स्थाने ह्येकमाहुर्मनीषिणः ।भेदानां हि समत्वेन प्रसिद्धेनैव हेतुना ।। 2.1.5 ।।,।। 2.1.5 ।।
Karika Upanishad,आदावन्ते च यन्नास्ति वर्तमानेऽपि तत्तथा ।वितथैः सदृशाः सन्तोऽवितथा इव लक्षिताः ।। 2.1.6 ।।,।। 2.1.6 ।।
Karika Upanishad,सप्रयोजनता तेषां स्वप्ने विप्रतिपद्यते ।तस्मदाद्यन्तवत्त्वेन मिथ्यैव खलु ते स्मृताः ।। 2.1.7 ।।,।। 2.1.7 ।।
Karika Upanishad,अपूर्वं स्थानिधर्मो हि यथा स्वर्गनिवासिनाम् ।तानयं प्रेक्षते गत्वा यथैवेह सुशिक्षितः ।। 2.1.8 ।।,।। 2.1.8 ।।
Karika Upanishad,स्वप्नवृत्तावपि त्वन्तश्चेतसा कल्पितं त्वसत् ।बहिश्चेतो गृहीतं सद्दृष्टं वैतथ्यमेतयोः ।। 2.1.9 ।।,।। 2.1.9 ।।
Karika Upanishad,जाग्रद्वृत्तावपि त्वन्तश्चेतसा कल्पितं त्वसत् ।बहिश्चेतोगृहीतं सद्युक्तं वैतथ्यमेतयोः ।। 2.1.10 ।।,।। 2.1.10 ।।
Karika Upanishad,उभयोरपि वैतथ्यं भेदानां स्थानयोर्यदि ।क एतान्बुध्यते भेदान्को वै तेषां विकल्पकः ।। 2.1.11 ।।,।। 2.1.11 ।।
Karika Upanishad,कल्पयत्यात्मनात्मानमात्मा देवः स्वमायया ।स एव बुध्यते भेदानिति वेदान्तनिश्चयः ।। 2.1.12 ।।,।। 2.1.12 ।।
Karika Upanishad,विकरोत्यपरान्भावानन्तश्चित्ते व्यवस्थितान् ।नियतांश्च बहिश्चित्त एवं कल्पयते प्रभुः ।। 2.1.13 ।।,।। 2.1.13 ।।
Karika Upanishad,चित्तकाला हि येऽन्तस्तु द्वयकालाश्च ये बहिः ।कल्पिता एव ते सर्वे विशेषो नान्यहेतुकः ।। 2.1.14 ।।,।। 2.1.14 ।।
