title,mantra,number
Katha Upanishad,तस्य ह नचिकेता नाम पुत्र आस ।। 1.1.1 ।।,।। 1.1.1 ।।
Katha Upanishad,त्ँह कुमार्ँसन्तं दक्षिणासु नीयमानासु श्रद्धाविवेश सोऽमन्यत ।। 1.1.2 ।।,।। 1.1.2 ।।
Katha Upanishad,"पीतोदका जग्धतृणा दुग्धदोहा निरिन्द्रियाः ।,अनन्दा नाम ते लोकास्तान् स गच्छति ता ददत् ।। 1.1.3 ।।",।। 1.1.3 ।।
Katha Upanishad,"स होवाच पितरं तात कस्मै मां दास्यसीति ।,द्वितीयं तृतीयं त्ँहोवाच मृत्यवे त्वा ददामीति ।। 1.1.4 ।।",।। 1.1.4 ।।
Katha Upanishad,"बहूनामेमि प्रथमो बहूनामेमि मध्यमः ।,कि्ँस्विद्यमस्य कर्तव्यं यन्मयाऽद्य करिष्यति ।। 1.1.5 ।।",।। 1.1.5 ।।
Katha Upanishad,"अनुपश्य यथा पूर्वे प्रतिपश्य तथाऽपरे ।,सस्यमिव मर्त्यः पच्यते सस्यमिवाऽऽजायते पुनः ।। 1.1.6 ।।",।। 1.1.6 ।।
Katha Upanishad,"वैश्वानरः प्रविशत्यतिथिर्ब्राह्मणो गृहान् ।,तस्यैता्ँशान्तिं कुर्वन्ति हर वैवस्वतोदकम् ।। 1.1.7 ।।",।। 1.1.7 ।।
Katha Upanishad,"आशाप्रतीक्षे सङ्गत्ँसूनृतां च इष्टापूर्ते पुत्रपशू्ँश्च सर्वान् ।,एतद्वृङ्क्ते पुरुंषस्याल्पमेधसो यस्यानश्नन्वसति ब्राह्मणो गृहे ।। 1.1.8 ।।",।। 1.1.8 ।।
Katha Upanishad,"तिस्रो रात्रीर्यवात्सीर्गृहे मेऽनश्नन् ब्रह्मन्नतिथिर्नमस्यः ।,नमस्तेऽस्तु ब्रह्मन् स्वस्ति मेऽस्तु तस्मात्प्रति त्रीन्वरान्वृणीष्व ।। 1.1.9 ।।",।। 1.1.9 ।।
Katha Upanishad,"शान्तसङ्कल्पः सुमना यथा स्याद्वीतमन्युर्गौतमो माऽभि मृत्यो ।,त्वत्प्रसृष्टं माऽभिवदेत्प्रतीत एतत् त्रयाणां प्रथमं वरं वृणे ।। 1.1.10 ।।",।। 1.1.10 ।।
Katha Upanishad,"यथा पुरस्ताद् भविता प्रतीत औद्दालकिरारुणिर्मत्प्रसृष्टः ।,सुख्ँरात्रीः शयिता वीतमन्युस्त्वां ददृशिवान् मृत्युमुखात् प्रमुक्तम् ।। 1.1.11 ।।",।। 1.1.11 ।।
Katha Upanishad,"स्वर्गे लोके न भयं किंचनास्ति न तत्र त्वं न जरया बिभेति ।,उभे तीर्त्वाऽशनायापिपासे शोकातिगो मोदते स्वर्गलोके ।। 1.1.12 ।।",।। 1.1.12 ।।
Katha Upanishad,"स त्वमग्नि्ँस्वर्ग्यमध्येषि मृत्यो प्रब्रूहि त्ँश्रद्दधानाय मह्यम् ।,स्वर्गलोका अमृतत्वं भजन्त एतद् द्वितीयेन वृणे वरेण ।। 1.1.13 ।।",।। 1.1.13 ।।
Katha Upanishad,"प्र ते ब्रवीमि तदु मे निबोध स्वर्ग्यमग्निं नचिकेतः प्रजानन् ।,अनन्तलोकाप्तिमथो प्रतिष्ठां विद्धि त्वमेतं निहितं गुहायाम् ।। 1.1.14 ।।",।। 1.1.14 ।।
Katha Upanishad,"लोकादिमग्निं तमुवाच तस्मै या इष्टका यावतीर्वा यथा वा ।,स चापि तत् प्रत्यवदद् यथोक्तमथास्य मृत्युः पुनरेवाऽऽह तुष्टः ।। 1.1.15 ।। ",।। 1.1.15 ।।
Katha Upanishad,"तमब्रवीत् प्रीयमाणो महात्मा वरं तवेहाद्य ददामि भूयः ।,तवैव नाम्ना भविताऽयमग्निः सृङ्कां चेमामनेकरूपां गृहाण ।। 1.1.16 ।।",।। 1.1.16 ।।
