title,mantra,number
Kena Upanishad,"0केन उपनिषद्, आप्यायन्तु ममाङ्गानि वाक्प्राणश्चक्षुः श्रोत्रमथो बलमिन्द्रियाणि च सर्वाणि। सर्वं ब्रह्मौपनिषदं माहं ब्रह्म निराकुर्यां मा मा ब्रह्म निराकरोदनिराकरणमस्त्वनिराकरणं मेऽस्तु। तदात्मनि निरते य उपनिषत्सु धर्मास्ते मयि सन्तु ते मयि सन्तु ।।, शान्तिः शान्तिः शान्तिः ।।,प्रथमः खण्डः, केनेषितं पतति प्रेषितं मनः केन प्राणः प्रथमः प्रैति युक्तः ।,केनेषितां वाचमिमां वदन्ति चक्षुः श्रोत्रं क उ देवो युनक्ति ।। 1.1.1 ।।",।। 1.1.1 ।।
Kena Upanishad,"श्रोत्रस्य श्रोत्रं मनसो मनो यद्वाचो ह वाच्ँस उ प्राणस्य प्राणः ।,चक्षुषश्चक्षुरतिमुच्य धीराः प्रेत्यास्माल्लोकादमृता भवन्ति ।। 1.1.2 ।।",।। 1.1.2 ।।
Kena Upanishad,न तत्र चक्षुर्गच्छति न वाग्गच्छति नो मनो न विद्मो न विजानीमो यथैतदनुशिष्यात् ।। 1.1.3 ।। ,।। 1.1.3 ।।
Kena Upanishad,अन्यदेव तद्विदितादथो अविदितादधि । इति शुश्रुम पूर्वेषां ये नस्तद्व्याचचक्षिरे ।। 1.1.4 ।।,।। 1.1.4 ।।
Kena Upanishad,"यद्वाचाऽनभ्युदितं येन वागभ्युद्यते ।,तदेव ब्रह्म त्वं विद्धि नेदं यदिदमुपासते ।। 1.1.5 ।।",।। 1.1.5 ।।
Kena Upanishad,"यन्मनसा न मनुते येनाहुर्मनो मतम् ।,तदेव ब्रह्म त्वं विद्धि नेदं यदिदमुपासते ।। 1.1.6 ।।",।। 1.1.6 ।।
Kena Upanishad,"यच्चक्षुषा न पश्यति येन चक्षू्ँषि पश्यति ।,तदेव ब्रह्म त्वं विद्धि नेदं यदिदमुपासते ।। 1.1.7 ।।",।। 1.1.7 ।।
Kena Upanishad,"यच्छ्रोत्रेण न श्रृणोति येन श्रोत्रमिद्ँ श्रुतम् ।,तदेव ब्रह्म त्वं विद्धि नेदं यदिदमुपासते ।। 1.1.8 ।।",।। 1.1.8 ।।
Kena Upanishad,"यत्प्राणेन न प्राणिति येन प्राणः प्राणीयते ।,तदेव ब्रह्म त्वं विद्धि नेदं यदिदमुपासते ।। 1.1.9 ।।,।। इति प्रथमः खण्डः ।।, , ",।। इति प्रथमः खण्डः ।।
Kena Upanishad,"द्वितीयः खण्डः,यदि मन्यसे सुवेदेति दभ्रमेवापि नूनं त्वं वेत्थ ब्रह्मणो रूपं ।,यदस्य त्वं यदस्य च देवेष्वथ नु मीमांस्यमेव ते मन्ये विदितम् ।। 2.1.1 ।।",।। 2.1.1 ।।
Kena Upanishad,"नाहं मन्ये सुवेदेति नो न वेदेति वेद च ।,यो नस्तद्वेद तद्वेद नो न वेदेति वेद च ।। 2.1.2 ।।",।। 2.1.2 ।।
Kena Upanishad,"यस्यामतं तस्य मतं मतं यस्य न वेद सः ।,अविज्ञातं विजानातां विज्ञातमविजानताम् ।। 2.1.3 ।।",।। 2.1.3 ।।
Kena Upanishad,"प्रतिबोधविदितं मतममृतत्वं हि विन्दते ।,आत्मना विन्दते वीर्यं विद्यया विन्दतेऽमृतम् ।। 2.1.4 ।।",।। 2.1.4 ।।
Kena Upanishad,"इह चेदवेदीदथ सत्यमस्ति न चेदिहावेदीन्महती विनष्टिः ।,भूतेषु भूतेषु विचित्य धीराः प्रेत्यास्माल्लोकादमृता भवन्ति ।। 2.1.5 ।।,।। इति द्वितीयः खण्डः ।।",।। इति द्वितीयः खण्डः ।।
Kena Upanishad,"तृतीयः खण्डः,ब्रह्म ह देवेभ्यो विजिग्ये तस्य ह ब्रह्मणो विजये देवा अमहीयन्त ।,त ऐक्षन्तास्माकमेवायं विजयोऽस्माकमेवायं महिमेति ।। 3.1.1 ।।",।। 3.1.1 ।।
Kena Upanishad,तद्धैषां विजज्ञौ तेभ्यो ह प्रादुर्बभूव तन्न व्यजानत किमिदं यक्षमिति ।। 3.1.2।।,।। 3.1.2।।
Kena Upanishad,तेऽग्निमब्रुवञ्जातवेद एतद्विजानीहि किमेतद्यक्षमिति तथेति ।। 3.1.3 ।।,।। 3.1.3 ।।
Kena Upanishad,तदभ्यद्रवत्तमभ्यवदत्कोऽसीत्यग्निर्वा अहमस्मीत्यब्रवीज्जातवेदा वा अहमस्मीति ।। 3.1.4।। ,।। 3.1.4।।
Kena Upanishad,तस्िम्ँ स्त्वयि किं वीर्यमित्यपीद्ँसर्वं दहेयं यदिदं पृथिव्यामिति ।। 3.1.5 ।।,।। 3.1.5 ।।
Kena Upanishad,तस्मै तृणं निदधावेतद्दहेति ।  तदुपप्रेयाय सर्वजवेन तन्न शशाक दग्धुं स तत एव निववृते नैतदशकं विज्ञातुं यदेतद्यक्षमिति ।। 3.1.6 ।।,।। 3.1.6 ।।
