title,mantra,number
Mandukya Upanishad,हरिः ।  ओमित्येतदक्षरमिद्ँ सर्वं तस्योपव्याख्यानं भूतं भवद्भविष्यदिति सर्वमोङ्कार एव। यच्चान्यत्त्रिकालातीतं तदप्योङ्कार एव ।। 1.1.1 ।।,।। 1.1.1 ।।
Mandukya Upanishad,सर्व्ँह्येतद्ब्रह्मायमात्मा ब्रह्म सोऽयमात्मा चतुष्पात् ।। 1.1.2 ।।,।। 1.1.2 ।।
Mandukya Upanishad,जागरितस्थानो बहिष्प्रज्ञः सप्ताङ्ग एकोनविंशतिमुखः स्थूलभुग्वैश्वानरः प्रथमः पादः ।। 1.1.3 ।।,।। 1.1.3 ।।
Mandukya Upanishad,स्वप्नस्थानोऽन्तःप्रज्ञः सप्ताङ्ग एकोनविंशतिमुखः प्रविविक्तभुक्तैजसो द्वितीयः पादः ।। 1.1.4 ।। ,।। 1.1.4 ।।
Mandukya Upanishad,यत्र सुप्तो न कंचन कामं कामयते न कंचन स्वप्नं पश्यति तत्सुषुप्तम्। सुषुप्तस्थान एकीभूतः प्रज्ञानघन एवानन्दमयो ह्यानन्दभुक्चेतोमुखः प्राज्ञस्तृतीयः पादः ।। 1.1.5 ।। ,।। 1.1.5 ।।
Mandukya Upanishad,एष सर्वेश्वर एष सर्वज्ञ एषोऽन्तर्याम्येष योनिः सर्वस्य प्रभवाप्ययौ हि भूतानाम्।। 1.1.6 ।। ,।। 1.1.6 ।।
Mandukya Upanishad,नान्तःप्रज्ञं न बहिष्प्रज्ञं नोभयतःप्रज्ञं न प्रज्ञानघनं न प्रज्ञं नाप्रज्ञम्। अदृष्टमव्यवहार्यमग्राह्यमलक्षणमचिन्त्यमव्यपदेश्यमेकात्मप्रत्ययसारं प्रपञ्चोपशमं शान्तं शिवमद्वैतं चतुर्थं मन्यन्ते स आत्मा स विज्ञेयः ।। 1.1.7 ।। ,।। 1.1.7 ।।
Mandukya Upanishad,सोऽयमात्माऽध्यक्षरमोंकारोऽधिमात्रं पादा मात्रा मात्राश्च पादा अकार उकारो मकार इति ।। 1.1.8 ।। ,।। 1.1.8 ।।
Mandukya Upanishad,जागरितस्थानो वैश्वानरोऽकारः प्रथमा मात्राऽऽप्तेरादिमत्त्वाद्वाऽऽप्नोति ह वै सर्वान्कामानादिश्च भवति य एवं वेद।। 1.1.9 ।।,।। 1.1.9 ।।
Mandukya Upanishad,स्वप्नस्थानस्तैजस उकारो द्वितीया मात्रोत्कर्षादुभयत्वाद्वोत्कर्षति ह वै ज्ञानसंततिं समानश्च भवति नास्याब्रह्मवित्कुले भवति य एवं वेद ।। 1.1.10 ।। ,।। 1.1.10 ।।
Mandukya Upanishad,सुषुप्तस्थानः प्राज्ञो मकारस्तृतीया मात्रा मितेरपीतेर्वा मिनोति ह वा इद्ँ सर्वमपीतिश्च भवति य एवं वेद ।। 1.1.11 ।। ,।। 1.1.11 ।।
Mandukya Upanishad,"अमात्रश्चतुर्थोऽव्यवहार्यः प्रपञ्चोपशमः शिवोऽद्वैत एवमोंकार आत्मैव संविशत्यात्मनाऽऽत्मानं य एवं वेद ।। 1.1.12 ।। ,।। इति माण्डूक्योपनिषत्संपूर्णा ।।, भद्रं कर्णेभिः , श्रृणुयाम देवा भद्रं पश्येमाक्षभिर्यजत्राः। स्थिरैरङ्गैस्तुष्टुवा्ँसस्तनूभिर्व्यशेम देवहितं यदायुः। स्वस्ति न इन्द्रो वृद्धश्रवाः स्वस्ति नः पूषा विश्ववेदाः। स्वस्ति नस्तार्क्ष्यो अरिष्टनेमिः स्वस्ति नो बृहस्पतिर्दधातु ।। , शान्तिः शान्तिः शान्तिः ।।   ","।। , शान्तिः शान्तिः शान्तिः ।।"
