title,mantra,number
Prasna Upanishad, सुकेशा च भारद्वाजः शैब्यश्च सत्यकामः सौर्यायणी च गार्ग्यः कौशल्यश्चाश्वलायनो भार्गवो वैदर्भिः कबन्धी कात्यायनस्ते हैते ब्रह्मपरा ब्रह्मनिष्ठाः परं ब्रह्मान्वेषमाणा एष ह वै तत्सर्वं वक्ष्यतीति ते ह समित्पाणयो भगवन्तं पिप्पलादमुपसन्नाः।।1.1.1।।,।।1.1.1।।
Prasna Upanishad,तान्ह स ऋषिरूवाच भूम एव तपसा ब्रह्मचर्येण श्रद्धया संवत्सरं संवत्स्यथ यथाकामं प्रश्नान्पृच्छत यदि विज्ञास्यामः सर्वं ह वो वक्ष्याम इति।।1.1.2।।,।।1.1.2।।
Prasna Upanishad,अथ कबन्धी कात्यायन उपेत्य पप्रच्छ। भगवन्कुतो ह वा इमाः प्रजाः प्रजायन्त इति।।1.1.3।।,।।1.1.3।।
Prasna Upanishad,तस्मै स होवाच प्रजाकामो वै प्रजापतिः स तपोऽतप्यत स तपस्तप्त्वा स मिथुनमुत्पादयते। रयिं च प्राणं चेत्यैतौ मे बहुधा प्रजाः करिष्यत इति।।1.1.4।।,।।1.1.4।।
Prasna Upanishad,आदित्यो ह वै प्राणो रयिरेव चन्द्रमा रयिर्वा एतत्सर्वं यन्मूर्तं चामूर्तं च तस्मान्मूर्तिरेव रयिः।।1.1.5।। ,।।1.1.5।।
Prasna Upanishad,अथादित्य उदयन्यत्प्राचीं दिशं प्रविशति तेन प्राच्यान्प्राणान्रश्मिषु संनिधत्ते। यद्दक्षिणां यत्प्रतीचीं यदुदीचीं यदधो यदूर्ध्वं यदन्तरा दिशो यत्सर्वं प्रकाशयति तेन सर्वान्प्राणान् रश्मिषु संनिधत्ते।।1.1.6।।,।।1.1.6।।
Prasna Upanishad,स एष वैश्वानरो विश्वरूपः प्राणोऽग्निरुदयते। तदेतदृचाभ्युक्तम्।।1.1.7।।,।।1.1.7।।
Prasna Upanishad,"विश्वरूपं हरिणं जातवेदसं परायणं ज्योतिरेकं तपन्तम्।,सहस्ररश्मिः शतधा वर्तमानः प्राणः प्रजानामुदयत्येष सूर्यः।।1.1.8।।",।।1.1.8।।
Prasna Upanishad,संवत्सरो वै प्रजापतिस्तस्यायने दक्षिणं चोत्तरं च। तद्ये ह वै तदिष्टापूर्ते कृतमित्युपासते ते चान्द्रमसमेव लोकमभिजयन्ते। त एव पुनरावर्तन्ते तस्मादेत ऋषयः प्रजाकामा दक्षिणं प्रतिपद्यन्ते। एष ह वै रयिर्यः पितृयाणः।।1.1.9।।,।।1.1.9।।
Prasna Upanishad,अथोत्तरेण तपसा ब्रह्मचर्येण श्रद्धया विद्ययात्मानमन्विष्यादित्यमभिजयन्ते। एतद्वै प्राणानामायतनमेतदमृतमभयमेतत्परायणमेतस्मान्न पुनरावर्तन्त इत्येष निरोधस्तदेष श्लोकः।।1.1।।,।।1.1।।
