title,mantra,number
ASHTAVAKRA GITA," ,                    जनक उवाच।,कथं ज्ञानमवाप्नोति कथं मुक्तिर्भविष्यति।,वैराग्यं च कथं प्राप्तमेतद् ब्रूहि मम प्रभो।।1.1।।  ",।।1.1।।
ASHTAVAKRA GITA,"अष्टवक्र उवाच।,मुक्तिमिच्छसि चेत्तात विषयान् विषवत्त्यज।,क्षमार्जवदयातोषसत्यं पीयूषवद्भज।।1.2।।  ",।।1.2।।
ASHTAVAKRA GITA,"न पृथ्वी न जलं नाग्निर्न वायुद्यौर्न वा भवान्।,एषां साक्षिणमात्मानं चिद्रूपं विद्धि मुक्तये।।1.3।।  ",।।1.3।।
ASHTAVAKRA GITA,"यदि देहं पृथक्कृत्य चिति विश्राम्य तिष्ठसि।,अधुनैव सुखी शान्तो बन्धमुक्तो भविष्यसि।।1.4।।  ",।।1.4।।
ASHTAVAKRA GITA,"न त्वं विप्रादिको वर्णो नाश्रमी नाक्षगोचरः।,असङ्गोऽसि निराकारो विश्वसाक्षी सुखी भव।।1.5।।  ",।।1.5।।
ASHTAVAKRA GITA,"धर्माधर्मौ सुखं दुःखं मानसानि न ते विभो।,न कर्तासि न भोक्तासि मुक्त एवासि सर्वदा।।1.6।।  ",।।1.6।।
ASHTAVAKRA GITA,"एको द्रष्टासि सर्वस्य मुक्तप्रायोऽसि सर्वदा।,अयमेव हि ते बन्धो द्रष्टारं पश्यसीतरम्।।1.7।।  ",।।1.7।।
ASHTAVAKRA GITA,"अहं कर्तेत्यहंमानमहाकृष्णाहिदंशितः।,नाहं कर्तेति विश्वासामृतं पीत्वा सुखी भव।।1.8।।  ",।।1.8।।
ASHTAVAKRA GITA,"एको विशुद्धबोधोऽहमिति निश्चयवह्निना।,प्रज्वाल्याज्ञानगहनं वीतशोकः सुखी भव।।1.9।।  ",।।1.9।।
ASHTAVAKRA GITA,"यत्र विश्वमिदं भाति कल्पितं रज्जुसर्पवत्।,आनन्दपरमानन्दः स बोधस्त्वं सुखं चर।।1.10।।  ",।।1.10।।
ASHTAVAKRA GITA,"मुक्ताभिमानी मुक्तो हि बद्धो बद्धाभिमान्यपि।,किंवदन्तीह सत्येयं या मतिः सा गतिर्भवेत्।।1.11।।  ",।।1.11।।
ASHTAVAKRA GITA,"आत्मा साक्षी विभुः षूर्ण एको मुक्तश्चिदक्रियः।,असङ्गो निस्पृहः शान्तो भ्रमात् संसारवानिव।।1.12।।  ",।।1.12।।
ASHTAVAKRA GITA,"कूटस्थं बोधमद्वैतमात्मानं परिभावय।,आभासोऽहं भ्रमं मुक्त्वा भावं बाह्यमथान्तरम्।।1.13।।  ",।।1.13।।
ASHTAVAKRA GITA,"देहाभिमानपाशेन चिरं बद्धोऽसि पुत्रक।,बोधोऽहं ज्ञानखङ्गेन तन्िनकृत्य सुखी भव।।1.14।।  ",।।1.14।।
ASHTAVAKRA GITA,"निःसङ्गो निष्क्रियोऽसि त्वं स्वप्रकाशो निरञ्जनः।,अयमेव हि ते बन्धः समाधिमनुतिष्ठसि।।1.15।।  ",।।1.15।।
ASHTAVAKRA GITA,"त्वया व्याप्तमिदं विश्वं त्वयि प्रोतं यथार्थतः।,शुद्धबुद्धस्वरूपस्त्वं मा गमः क्षुद्रचित्तताम्।।1.16।।  ",।।1.16।।
ASHTAVAKRA GITA,"निरपेक्षो निर्विकारो निर्भरः शीतलाशयः।,अगाधबुद्धिरक्षुब्धो भव चिन्मात्रवासनः।।1.17।।  ",।।1.17।।
ASHTAVAKRA GITA,"साकारमनृतं विद्धि निराकारं तु निश्चलम्।,एतत्तत्वोपदेशेन न पुनर्भवसम्भवः।।1.18।।  ",।।1.18।।
ASHTAVAKRA GITA,"यथैवादर्शमध्यस्थे रूपेऽन्तः परितस्तु सः।,तथैवास्मिन् शरीरेऽन्तः परितः परमेश्वरः।।1.19।।  ",।।1.19।।
ASHTAVAKRA GITA,"एकं सर्वगतं व्योम बहिरन्तर्यथा घटे।,नित्यं निरन्तरं ब्रह्म सर्वभूतगणे तथा।।1.20।। ,              ",।।1.20।।
ASHTAVAKRA GITA," ,                   ,जनक उवाच।,अहो निरञ्जनः शान्तो बोधोऽहं प्रकृतेः परः।,एतावन्तमहं कालं मोहेनैव विडम्बितः।।2.1।।  ",।।2.1।।
ASHTAVAKRA GITA,"यथा प्रकाशयाम्येको देहमेनं तथा जगत्।,अतो मम जगत्सर्वमथवा न च किञ्चन।।2.2।।  ",।।2.2।।
ASHTAVAKRA GITA,"सशरीरमहो विश्वं परित्यज्य मयाधुना।,कुतश्चित् कौशलादेव परमात्मा विलोक्यते।।2.3।।  ",।।2.3।।
ASHTAVAKRA GITA,"यथा न तोयतो भिन्नास्तरङ्गाः फेनबुद्बुदाः।,आत्मनो न तथा भिन्न विश्वमात्मविनिर्गतम्।।2.4।।  ",।।2.4।।
ASHTAVAKRA GITA,"तन्तुमात्रो भवेदेव पटो यद्वद्विचारितः।,आत्मतन्मात्रमेवेदं तद्वद्विश्वं विचारितम्।।2.5।।  ",।।2.5।।
ASHTAVAKRA GITA,"यथैवेक्षुरसे क्लृप्ता तेन व्याप्तैव शर्करा।,तथा विश्वं मयि क्लृप्तं मया व्याप्तं निरन्तरम्।।2.6।।  ",।।2.6।।
ASHTAVAKRA GITA,"आत्माज्ञानाज्जगद्भाति आत्मज्ञानान्न भासते।,रज्ज्वज्ञानादहिर्भाति तज्ज्ञानाद्भासते न हि।।2.7।।  ",।।2.7।।
ASHTAVAKRA GITA,"प्रकाशो मे निजं रूपं नातिरिक्तोऽस्म्यहं ततः।,यदा प्रकाशते विश्वं तदाहम्भास एव हि।।2.8।।  ",।।2.8।।
ASHTAVAKRA GITA,"अहो विकल्पितं विश्वमज्ञानान्मयि भासते।,रूप्यं शुक्तौ फणी रज्जौ वारि सूर्यकरे यथा।।2.9।।  ",।।2.9।।
ASHTAVAKRA GITA,"मत्तो विनिर्गतं विश्वं मय्येव लयमेष्यति।,मृदि कुम्भो जले वीचिः कनके कटकं यथा।।2.10।।  ",।।2.10।।
ASHTAVAKRA GITA,"अहो अहं नमो मह्यं विनाशो यस्य नासित मे।,ब्रह्मादिस्तम्बपर्यन्तं जगन्नाशेऽपि तिष्ठतः।।2.11।।  ",।।2.11।।
ASHTAVAKRA GITA,"अहो अहं नमो मह्यमेकोऽहं देहवानपि।,क्वचिन्न गन्ता नागन्ता व्याप्य विश्वमवस्थितः।।2.12।।  ",।।2.12।।
ASHTAVAKRA GITA,"अहो अहं नमो मह्यं दक्षो नास्तीह मत्समः।,असंस्पृश्य शरीरेण येन विश्वं चिरं धृतम्।।2.13।।  ",।।2.13।।
ASHTAVAKRA GITA,"अहो अहं नमो मह्यं यस्य मे नास्ति किञ्चन।,अथवा यस्य मे सर्वं यद्वाङ्मनसगोचरम्।।2.14।।  ",।।2.14।।
ASHTAVAKRA GITA,"ज्ञानं ज्ञेयं तथा ज्ञाता त्रितयं नास्ति वास्तवम्।,अज्ञानाद्भाति यत्रेदं सोऽहमस्मि निरञ्जनः।।2.15।।  ",।।2.15।।
ASHTAVAKRA GITA,"द्वैतमूलमहो दुःखं नान्यत्तस्यास्ति भेषजम्।,दृश्यमेतन्मृषा सर्वं एकोऽहं चिद्रसोऽमलः।।2.16।।  ",।।2.16।।
ASHTAVAKRA GITA,"बोधमात्रोऽहमज्ञानादुपाधिः कल्पितो मया।,एवं विमृशतो नित्यं निर्विकल्पे स्थितिर्मम।।2.17।।  ",।।2.17।।
ASHTAVAKRA GITA,"न मे बन्धोऽस्ति मोक्षो वा भ्रान्तिः शान्ता निराश्रया।,अहो मयि स्थितं विश्वं वस्तुतो न मयि स्थितम्।।2.18।।  ",।।2.18।।
ASHTAVAKRA GITA,"सशरीरमिदं विश्वं न किञ्चिदिति निश्चितम्।,शुद्धचिन्मात्र आत्मा च तत्कस्मिन् कल्पनाधुना।।2.19।।  ",।।2.19।।
ASHTAVAKRA GITA,"शरीरं स्वर्गनरकौ बन्धमोक्षौ भयं तथा।,कल्पनामात्रमेवैतत् किं मे कार्यं चिदात्मनः।।2.20।।  ",।।2.20।।
