title,mantra,number
AVADHUTA GITA,"ईश्वरानुग्रहादेव पुंसामद्वैतवासना।,महद्भयपरित्राणाद्विप्राणामुपजायते।।1।।",।।1।।
AVADHUTA GITA,"येनेदं पूरितं सर्वमात्मनैवात्मनात्मनि।,निराकारं कथं वन्दे ह्यभिन्नं शिवमव्ययम्।।2।।",।।2।।
AVADHUTA GITA,"पञ्चभूतात्मकं  विश्वं मरीचिजलसन्निभम्।,कस्याप्यहो नमस्कुर्यामहमेको निरञ्जनः।।3।।",।।3।।
AVADHUTA GITA,"आत्मैव केवलं सर्वं भेदाभेदो न विद्यते।,अस्ति नास्ति कथं ब्रूयां विस्मयः प्रतिभाति मे।।4।।",।।4।।
AVADHUTA GITA,"वेदान्तसारसर्वस्वं ज्ञानं विज्ञानमेव च।,अहमात्मा निराकारः सर्वव्यापी स्वभावतः।।5।।",।।5।।
AVADHUTA GITA,"यो वै सर्वात्मको देवो निष्कलो गगनोपमः।,स्वभावनिर्मलः शुद्धः स एवाहं न संशयः।।6।।",।।6।।
AVADHUTA GITA,"अहमेवाव्ययोऽनन्तः शुद्धविज्ञानविग्रहः।,सुखं दुःखं न जानामि कथं कस्यापि वर्तते।।7।।",।।7।।
AVADHUTA GITA,"न मानसं कर्म शुभाशुभं मे,	न कायिकं कर्म शुभाशुभं मे।,न वाचिकं कर्म शुभाशुभं मे,	ज्ञानमृतं शुद्धमतीन्द्रियो़ऽहम्।।8।।",।।8।।
AVADHUTA GITA,"मनो वै गगनाकारं मनो वै सर्वतोमुखम्।,मनो़ऽतीतं मनः सर्वं न मनः परमार्थतः।।9।।",।।9।।
AVADHUTA GITA,"अहमेकमिदं सर्वं व्योमातीतं निरन्तरम्।,पश्यामि कथमात्मानं प्रत्यक्षं वा तिरोहितम्।।10।।",।।10।।
AVADHUTA GITA,"त्वमेवमेकं हि कथं न बुध्यसे,	समं हि सर्वेषु विमृष्टमव्ययम्।,सदोदितोऽसि त्वमखण्डितः प्रभो,	दिवा च नक्तं च कथं हि मन्यसे।।11।।",।।11।।
AVADHUTA GITA,"आत्मानं सततं विद्धि सर्वत्रैकं निरन्तरम्।,अहं ध्याता परं ध्येयमखण्डं खण्ड्यते कथम्।।12।।",।।12।।
AVADHUTA GITA,"न जातो न मृतोऽसि त्वं न ते देहः कदाचन।,सर्वं ब्रह्मेति विख्यातं ब्रवीति बहुधा श्रुतिः।।13।।",।।13।।
AVADHUTA GITA,"स बाह्याम्यन्तरोऽसि त्वं शिवः सर्वत्र सर्वदा।,इतस्ततः कथं भ्रान्तः प्रधावसि पिशाचवत्।।14।।",।।14।।
AVADHUTA GITA,"संयोगश्च वियोगश्च वर्तते न च ते न मे।,न त्वं नाहं जगन्नेदं सर्वमात्मैव केवलम्।।15।।",।।15।।
AVADHUTA GITA,"शब्दादिपञ्चकस्यास्य नैवासि त्वं न ते पुनः।,त्वमेव परमं तत्त्वमतः किं परितप्यसे।।16।।",।।16।।
AVADHUTA GITA,"जन्म मृत्युर्न ते चित्तं बन्धमोक्षौ शुभाशुभौ।,कथं रोदिषि रे वत्स नामरूपं न ते न मे।।17।।",।।17।।
AVADHUTA GITA,"अहो चित्त कथं भ्रान्तः प्रधावसि पिशाचवत्।,अभिन्नं पश्य चात्मानं रागत्यागात्सुखी भव।।18।।",।।18।।
AVADHUTA GITA,"त्वमेव तत्त्वं हि विकारवर्जितं,	निष्कम्पमेकं हि विमोक्षविग्रहम्।,न ते च रागौ ह्यथवा विरागः,	कथं हि सन्तप्यसि कामकामतः।।19।।",।।19।।
AVADHUTA GITA,"वदन्ति श्रुतयः सर्वाः निर्गुणं शुद्धमव्ययम्।,अशरीरं समं तत्त्वं तन्मां विद्धि न संशयः।।20।।",।।20।।
AVADHUTA GITA,"साकारमनृतं विद्धि निराकारं निरन्तरम्।,एतत्तत्त्वोपदेशेन न पुनर्भवसम्भवः।।21।।",।।21।।
AVADHUTA GITA,"एकमेव समं तत्त्वं वदन्ति हि विपश्चितः।,रागत्यागात्पुनश्चित्तमेकानेकं न विद्यते।।22।।",।।22।।
AVADHUTA GITA,"अनात्मरूपं च कथं समाधि,	रात्मस्वरूपं च कथं समाधिः।,अस्तीति नास्तीति कथं समाधि,	र्मोक्षस्वरूपं यदि सर्वमेकम्।।23।।",।।23।।
AVADHUTA GITA,"विशुद्धोऽसि समं तत्त्वं विदेहस्त्वमजोऽव्ययः।,जानामीह न जानामीत्यात्मानं मन्यसे कथम्।।24।।",।।24।।
AVADHUTA GITA,"तत्त्वमस्यादिवाक्येन स्वात्मा हि प्रतिपादितः।,नेति नेति श्रुतिर्ब्रूयादनृतं पाञ्चभौतिकम्।।25।।",।।25।।
AVADHUTA GITA,"आत्मन्येवात्मना सर्वं त्वया पूर्णं निरन्तरम्।,ध्याता ध्यानं न ते चित्तं निर्लज्जं ध्यायते कथम्।।26।।",।।26।।
AVADHUTA GITA,"शिवं न जानामि कथं वदामि,	शिवं न जानामि कथं भजामि।,अहं शिवश्चेत्परमार्थतत्त्वं ,	समस्वरूपं गगनोपमं च।।27।।",।।27।।
AVADHUTA GITA,"नाहं तत्त्वं समं तत्त्वं कल्पनाहेतुवर्जितम्।,ग्राह्यग्राहकनिर्मुक्तं स्वसंवेद्यं कथं भवेत्।।28।।",।।28।।
AVADHUTA GITA,"अनन्तरूपं न हि वस्तु किञ्चि,	त्तत्त्वस्वरूपं न हि वस्तु किञ्चित्। ,आत्मैकरूपं परमार्थतत्त्वं,	न हिंसको वापि न चाप्यहिंसा।।29।।",।।29।।
AVADHUTA GITA,"विशुद्धोऽसि समं तत्त्वं विदेहमजमव्ययम्।,विभ्रमं कथमात्मार्थे विभ्रान्तोऽहं कथं पुनः।।30।।",।।30।।
AVADHUTA GITA,"घटे भिन्ने घटाकाशं सुलीनं भेदवर्जितम्।,शिवेन मनसा शुद्धो न भेदः प्रतिभाति मे।।31।।",।।31।।
AVADHUTA GITA,"न घटो न घटाकाशो न जीवो जीवविग्रहः।,केवलं ब्रह्म संविद्धि वेद्यवेदकवर्जितम्।।32।।",।।32।।
AVADHUTA GITA,"सर्वत्र सर्वदा सर्वमात्मानं सततं ध्रूवम्।,सर्वं शून्यमशून्यं च तन्मां विद्धि न संशयः।।33।।",।।33।।
AVADHUTA GITA,"वेदा न लोका न सुरा न यज्ञा वर्णाश्रमो नैव,			कुलं न जातिः।,न धूममार्गो न च दीप्तिमार्गो ब्रह्मैकरूपं,			परमार्थतत्त्वम्।।34।।",।।34।।
AVADHUTA GITA,"व्याप्यव्यापकनिर्मुक्तः त्वमेकः सफलं यदि।,प्रत्यक्षं चापरोक्षं च ह्यात्मानं मन्यसे कथम्।।35।।",।।35।।
AVADHUTA GITA,"अद्वैतं केचिदिच्छन्ति द्वैतमिच्छन्ति चापरे।,समं तत्त्वं न विन्दन्ति द्वैताद्वैतविवर्जितम्।।36।।",।।36।।
AVADHUTA GITA,"श्वेतादिवर्णरहितं शब्दादिगुणवर्जितम्।,कथयन्ति कथं तत्त्वं मनोवाचामगोचरम्।।37।।",।।37।।
AVADHUTA GITA,"यदाऽनृतमिदं सर्वं देहादिगगनोपमम्।,तदा हि ब्रह्म संवेत्ति न ते द्वैतपरम्परा।।38।।",।।38।।
AVADHUTA GITA,"परेण सहजात्मापि ह्यभिन्नः प्रतिभाति मे।,व्योमाकारं तथैवैकं ध्याता ध्यानं कथं भवेत्।।39।।",।।39।।
AVADHUTA GITA,"यत्करोमि यदश्नामि यज्जुहोमि ददामि यत्।,एतत्सर्वं न मे किञ्चिद्विशुद्धोऽहमजोऽव्ययः।।40।।",।।40।।
AVADHUTA GITA,"सर्वं जगद्विद्धि निराकृतीदं सर्वं जगद्विद्धि,			विकारहीनम्।,सर्वं जगद्विद्धि विशुद्धदेहं सर्वं जगद्विद्धि,			शिवैकरूपम्।।41।।",।।41।।
AVADHUTA GITA,"तत्त्वं त्वं न हि संदेहः किं जानाम्यथवा पुनः।,असंवेद्यं स्वसंवेद्यमात्मानं मन्यसे कथम्।।42।।",।।42।।
AVADHUTA GITA,"मायाऽमाया कथं तात छायाऽछाया न विद्यते।,तत्त्वमेकमिदं सर्वं व्योमाकारं निरञ्जनम्।।43।।",।।43।।
AVADHUTA GITA,"आदिमध्यान्तमुक्तोऽहं न बद्धोऽहं कदाचन।,स्वभावनिर्मलः शुद्ध इति मे निश्चिता मतिः।।44।।",।।44।।
AVADHUTA GITA,"महदादि जगत्सर्वं न किञ्चित्प्रतिभाति मे।,ब्रह्मैव केवलं सर्वं कथं वर्णाश्रमस्थितिः।।45।।",।।45।।
AVADHUTA GITA,"जानामि सर्वथा सर्वमहमेको निरन्तरम्।,निरालम्बमशून्यं च शून्यं व्योमादिपञ्चकम्।।46।।",।।46।।
AVADHUTA GITA,"न षण्ढो न पुमान्न स्त्री न बोधो नैव कल्पना।,सानन्दो वा निरानन्दमात्मानं मन्यसे कथम्।।47।।",।।47।।
AVADHUTA GITA,"षडङ्गयोगान्न तु नैव शुद्धं मनोविनाशान्न,			तु नैव शुद्धम्।,गुरूपदेशान्न तु नैव शुद्धं स्वयं च तत्त्वं,			स्वयमेव शुद्धम्।।48।।",।।48।।
AVADHUTA GITA,"न हि पञ्चात्मको देहो विदेहो वर्तते न हि।,आत्मैव केवलं सर्वं तुरीयं च त्रयं कथम्।।49।।",।।49।।
AVADHUTA GITA,"न बद्धो नैवमुक्तोऽहं न चाहं ब्रह्मणः पृथक्।,न कर्ता न च भोक्ताहं व्याप्यव्यापकवर्जितः।।50।।",।।50।।
AVADHUTA GITA,"यथा जलं जले न्यस्तं सलिलं भेदवर्जितम्।,प्रकृतिं पुरुषं तद्वदभिन्नं प्रतिभाति मे।।51।।",।।51।।
AVADHUTA GITA,"यदि नाम न मुक्तोऽसि न बद्धोऽसि कदाचन।,साकारं च निराकारमात्मानं मन्यसे कथम्।।52।।",।।52।।
AVADHUTA GITA,"जानामि ते परं रूपं प्रत्यक्षं गगनोपमम्।,यथाऽपरं हि रूपं यन्मरीचिजलसन्निभम्।।53।।",।।53।।
AVADHUTA GITA,"न गुरुर्नोपदेशश्च न चोपाधिर्न मे क्रिया।,विदेहं गगनं विद्धि विशुद्धोऽहं स्वभावतः।।54।।",।।54।।
AVADHUTA GITA,"विशुद्धोऽस्यशरीरोऽसि न ते चित्तं परात्परम्।,अहं चात्मा परं तत्त्वमिति वक्तुं न लज्जसे।।55।।",।।55।।
AVADHUTA GITA,"कथं रोदिषि रे चित्त ह्यात्मैवात्मात्मना भव।,पिब वत्स कलातीतमद्वैतं परमामृतम्।।56।।",।।56।।
AVADHUTA GITA,"नैव बोधो न चाबोधो न बोधाबोध एव च।,यस्येदृशः सदा बोधः स बोधो नान्यथा ,			भवेत्।।57।।",।।57।।
AVADHUTA GITA,"ज्ञानं न तर्को न समाधियोगो न देशकालौ,			न गुरूपदेशः। ,स्वभावसंवित्तिरहं च तत्त्वमाकाशकल्पं सहजं ,			ध्रुवं च।।58।।",।।58।।
