title,mantra,number
UDDHAVA GITA,"श्रीशुक उवाच।,अथ ब्रह्मात्मजैर्देवैः प्रजेशैरावृतोऽभ्यगात्।,भवश्च भूतभव्येशो ययौ भूतगणैर्वृतः।।1।।",।।1।।
UDDHAVA GITA,"इन्द्रो मरुद्भिर्भगवानादित्या वसवोऽश्िवनौ।,ऋभवोऽङ्गिरसो रुद्रा विश्वे साध्याश्च देवताः।।2।।",।।2।।
UDDHAVA GITA,"गन्धर्वाप्सरसो नागाः सिद्धचारणगुह्यकाः।,ऋषयः पितरश्चैव सविद्याधरकिन्नराः।।3।।",।।3।।
UDDHAVA GITA,"द्वारकामुपसंजग्मुः सर्वे कृष्णदिदृक्षवः।,वपुषा येन भगवान्नरलोकमनोरमः।,यशो वितेने लोकेषु सर्वलोकमलापहम्।।4।।",।।4।।
UDDHAVA GITA,"तस्यां विभ्राजमानायां समृद्धायां महर्धिभिः।,व्यचक्षतावितृप्ताक्षाः कृष्णमद्भुतदर्शनम्।।5।।",।।5।।
UDDHAVA GITA,"स्वर्गोद्यानोपगैर्माल्यैश्छादयन्तो यदूत्तमम्।,गीर्भिश्चित्रपदार्थाभिस्तुष्टु वुर्जगदीश्वरम्।।6।।",।।6।।
UDDHAVA GITA,"देवा ऊचुः।,नताः स्म ते नाथ पदारविन्दं,बुद्धीन्द्रियप्राणमनोवचोभिः।,यच्चिन्त्यतेऽन्तर्हृदि भावयुक्तै,र्मुमुक्षुभिः कर्ममयोरुपाशात्।।7।।",।।7।।
UDDHAVA GITA,"त्वं मायया त्रिगुणयाऽऽत्मनि दुर्विभाव्यं,व्यक्तं सृजस्यवसि लुम्पसि तद्गुणस्थः।,नैतैर्भवानजित कर्मभिरज्यते वै,यत्स्वे सुखेऽव्यवहितेऽभिरतोऽनवद्यः।।8।।",।।8।।
UDDHAVA GITA,"शुद्धिर्नृणां न तु तथेड्य दुराशयानां,विद्याश्रुताध्ययनदानतपःक्रियाभिः।,सत्त्वात्मनामृषभ ते यशसि प्रवृद्ध,सच्छृद्धया श्रवणसंभृतया यथा स्यात्।।9।।",।।9।।
UDDHAVA GITA,"स्यान्नस्तवाङ्घ्रिरशुभाशयधूमकेतुः,क्षेमाय यो मुनिभिरार्द्रहृदोह्यमानः।,यः सात्वतैः समविभूतय आत्मवद्भि,र्व्यूहेऽर्चितः सवनशः स्वरतिक्रमाय।।10।।",।।10।।
