title,mantra,number
VIBHISHANA GITA," ,रावनु रथी बिरथ रघुबीरा। ,देखि बिभीषन भयउ अधीरा।।1।।  ",।।1।।
VIBHISHANA GITA,"अधिक प्रीति मन भा संदेहा।, बंदि चरन कह सहित सनेहा।।2।।  ",।।2।।
VIBHISHANA GITA,"नाथ न रथ नहिं तन पद त्राना।, केहि बिधि जीतब बीर बलवाना।।3।।  ",।।3।।
VIBHISHANA GITA,"सुनहु सखा कह कृपानिधाना। ,जेहिं जय होइ सो स्यंदन आना।।4।।  ",।।4।।
VIBHISHANA GITA,"सौरज धीरज तेहि रथ चाका।, सत्य सील दृढ़ ध्वजा पताका।।5।।  ",।।5।।
VIBHISHANA GITA,"बल बिबेक दम परहित घोरे।, क्षमा कृपा समता रजु जोरे।।6।।  ",।।6।।
VIBHISHANA GITA,"ईस भजनु सारथी सुजाना। ,बिरति चर्म संतोष कृपाना।।7।।  ",।।7।।
VIBHISHANA GITA,"दान परसु बुधि सक्ति प्रचंडा।, बर विग्यान कठिन कोदंडा।।8।।  ",।।8।।
VIBHISHANA GITA,"अमल अचल मन त्रोन समाना।, सम जम नियम सिलीमुख नाना।।9।।  ",।।9।।
VIBHISHANA GITA,"कवच अभेद बिप्र गुर पूजा।, एहि सम बिजय उपाय न दूजा।।10।।  ",।।10।।
VIBHISHANA GITA,"सखा धर्ममय अस रथ जाकें। ,जीतन कहन कतहुरिपु ताकें।।11।।  ",।।11।।
VIBHISHANA GITA,"महा अजय संसार रिपु जीति सकइ सो बीर।,जाकें अस रथ होइ दृढ़ सुनहु सखा मतिधीर।।12।।  ",।।12।।
VIBHISHANA GITA,"सुनि प्रभु बचन बिभीषन हरषि गहे पद कंज।,एहि मिस मोहि उपदेसेहु राम कृपा सुख पुंज।।13।। ,              ",।।13।।
