title,mantra,number
Brihadaranyaka Upanishad,ओमित्येतदक्षरमुद्गीथमुपासीत ।  ओमिति ह्युद्गायति तस्योपव्याख्यानम् ।। 1.1.1 ।। ,।। 1.1.1 ।।
Brihadaranyaka Upanishad,एषां भूतानां पृथिवी रसः पृथिव्या आपो रसः ।  अपामोषधयो रस ओषधीनां पुरुषो रसः पुरुषस्य वाग्रसो वाच ऋग्रस ऋचः साम रसः साम्न उद्गीथो रसः ।। 1.1.2 ।। ,।। 1.1.2 ।।
Brihadaranyaka Upanishad,स एष रसानाँ् रसतमः परमः परार्ध्योऽष्टमो  यदुद्गीथः ।। 1.1.3 ।। ,।। 1.1.3 ।।
Brihadaranyaka Upanishad,कतमा कतमर्क्कतमत्कतमत्साम कतमः कतम उद्गीथ इति विमृष्टं भवति ।। 1.1.4 ।। ,।। 1.1.4 ।।
Brihadaranyaka Upanishad,वागेवर्क्प्राणः सामोमित्येतदक्षरमुद्गीथः ।  तद्वा एतन्मिथुनं यद्वाक्च प्राणश्चर्क्च साम च ।। 1.1.5 ।। ,।। 1.1.5 ।।
Brihadaranyaka Upanishad,"तदेतन्मिथुनमोमित्येतस्मिन्नक्षरे , स , सृज्यते   यदा वै मिथुनौ समागच्छत आपयतो वै तावन्योन्यस्य कामम् ।। 1.1.6 ।।",।। 1.1.6 ।।
Brihadaranyaka Upanishad,आपयिता ह वै कामानां भवति य एतदेवं विद्वानक्षरमुद्गीथमुपास्ते ।। 1.1.7 ।। ,।। 1.1.7 ।।
Brihadaranyaka Upanishad,तद्वा एतदनुज्ञाक्षरं यद्धि किञ्चानुजानात्योमित्येव तदाहैषो एव समृद्धिर्यदनुज्ञा समर्धयिता ह वै कामानां भवति य एतदेवं विद्वानक्षरमुद्गीथमुपास्ते ।। 1.1.8 ।। ,।। 1.1.8 ।।
Brihadaranyaka Upanishad,"तेनेयं त्रयी विद्या वर्तत ओमित्याश्रावयत्योमिति श , सत्योमित्युद्गायत्येतस्यैवाक्षरस्यापचित्यै महिम्ना रसेन ।। 1.1.9 ।।",।। 1.1.9 ।।
Brihadaranyaka Upanishad,तेनोभौ कुरुतो यश्चैतदेवं वेद यश्च न वेद ।  नाना तु विद्या चाविद्या च यदेव विद्यया करोति श्रद्धयोपनिषदा तदेव वीर्यवत्तरं भवतीति खल्वेतस्यैवाक्षरस्योपव्याखयानं भवति ।। 1.1.10 ।। इति प्रथमः खण्डः ।। 1 ।।  ,।। 1 ।।
Brihadaranyaka Upanishad,देवासुरा ह वै यत्र संयेतिर उभये प्राजापत्यास्तद्ध देवा उद्गीथमाजह्रुरनेनैनानभिभविष्याम इति ।। 1.2.1 ।। ,।। 1.2.1 ।।
Brihadaranyaka Upanishad,"ते ह नासिक्यं प्राणमुद्गीथमुपासाञ्चक्रिरे त , हासुराः पाप्मना विविधुस्तस्मात्तेनोभयं जिघ्रति सुरभि च दुर्गन्धि च पाप्मना ह्येष विद्धः ।। 1.2.2 ।। ",।। 1.2.2 ।।
Brihadaranyaka Upanishad,अथ ह वाचमुद्गीथमुपासाञ्चक्रिरे ताँ् हासुराः पाप्मना विविधुस्तस्मात्तयोभयं वदति सत्यं चांनृतं च पाप्मना ह्येषा विद्धा ।। 1.2.3 ।।,।। 1.2.3 ।।
Brihadaranyaka Upanishad,अथ ह चक्षुरुद्गीथमुपासाञ्चक्रिरे तद्धासुराः पाप्मना विविधुस्तस्मात्तेनोभयं पश्यति दर्शनीयं चादर्शनीयं च पाप्मना ह्येतद्विद्धम् ।। 1.2.4 ।। ,।। 1.2.4 ।।
Brihadaranyaka Upanishad,अथ ह श्रोत्रमुद्गीथमुपासाञ्चक्रिरे तद्धासुराः पाप्मना विवधुस्तस्मात्तेनोभयँ् शृणोति श्रवणीयं चाश्रवणीयं च पाप्मना ह्येतद्विद्धम् ।। 1.2.5 ।। ,।। 1.2.5 ।।
Brihadaranyaka Upanishad,अथ ह मन उद्गीथमुपासाञ्चक्रिरे तद्धासुराः पाप्मना विविधुस्तस्मात्तेनोभयँ् सङ्कल्पयते सङ्कल्पनीयं चासङ्कल्पनीयं च पाप्मना ह्येतद्विद्धम् ।। 1.2.6 ।। ,।। 1.2.6 ।।
Brihadaranyaka Upanishad,अथ ह य एवायं मुख्यः प्राणस्तमुद्गीथमुपासाञ्चक्रिरे तँ् हासुरा ऋत्वा विदध्वंसुर्यथाश्मानमाखणमृत्वा विध्वंसेत ।। 1.2.7 ।। ,।। 1.2.7 ।।
Brihadaranyaka Upanishad,"एवं यथाश्मानमाखणमृत्वा विध्व , सत एवँ , हैव , स , विध्व , सते , य एवंविदि पापं कामयते यश्चैनमभिदासति स एषोऽश्माखणः ।। 1.2.8 ।। ",।। 1.2.8 ।।
Brihadaranyaka Upanishad,नैवैतेन सुरभि न दुर्गन्धि विजानात्यपहतपाप्मा ह्येष तेन यदश्नाति यत्पिबति तेनेतरान्प्राणानवति ।  एतमु एवान्ततोऽवित्त्वोक्रामति व्याददात्येवान्तत इति ।। 1.2.9 ।। ,।। 1.2.9 ।।
Brihadaranyaka Upanishad,"तँ् , हाङ्गिरा उद्गीथमुपासाञ्चक्रं एतमु एवाङ्गिरसं मन्यन्तेऽङ्गानां यद्रसः ।। 1.2.10 ।। ",।। 1.2.10 ।।
Brihadaranyaka Upanishad,"तेन तँ् , ह बृहस्पतिरुद्गीथमुपासाञ्चक्रं एतमु एव बृहस्पतिं मन्यन्ते वाग्धि बृहती तस्या एष पतिः ।। 1.2.11 ।। ",।। 1.2.11 ।।
Brihadaranyaka Upanishad,"तेन तँ् , हायास्य उद्गीथमुपासाञ्चक्र एतमु एवायास्यं मन्यन्त आस्याद्यदयते ।।,1.2.12 ।। ","।।,1.2.12 ।।"
Brihadaranyaka Upanishad,"तेन तँ् ह , बको दाल्भ्यो विदाञ्चकार ।  स ह नैमिषीयानामुद्गाता बभूव स ह स्मैभ्यः कामानागायति ।। 1.2.13 ।। ",।। 1.2.13 ।।
Brihadaranyaka Upanishad,आगाता ह वै कामानां भवति य एतदेवं विद्वानक्षरमुद्गीथमुपास्त इत्यध्यात्मम् ।। 1.2.14 ।। इति द्वितीयः खण्डः ।। 2 ।।   ,।। 2 ।।
Brihadaranyaka Upanishad,"अथाधिदैवतं य एवासौ तपति तमुद्गीथमुपासीतोद्यन्वा एष प्रजाभ्य उद्गायति ।  उद्य , स्तमो भयमपहन्त्यपहन्ता ह वै भयस्य तमसो भवति य एवं वेद ।। 1.3.1 ।।",।। 1.3.1 ।।
Brihadaranyaka Upanishad,समान उ एवाचं चासौ चोष्णोऽयमुष्णोऽसौ स्वर इतीममाचक्षते स्वर इति प्रत्यास्वर इत्युमं तस्माद्वा एतमिममसुं चोद्गीथमुपासीत ।। 1.3.2 ।। ,।। 1.3.2 ।।
Brihadaranyaka Upanishad,अथ खलु व्यानमेवोद्गीथमुपासीत यद्वै प्राणिति स प्राणो यदपानिति सोऽपानः ।  अथ यः प्राणापानयोः सन्धिः स व्यानो यो व्यानः सा वाक् ।  तस्मादप्राणन्ननपानन्वाचमभिव्याहरति ।। 1.3.3 ।। ,।। 1.3.3 ।।
Brihadaranyaka Upanishad,या वाक्सर्क्तस्मादप्राणन्ननपानन्नृचमभिव्याहरति यर्क्तत्साम तस्मादप्राणन्ननपानन्साम गायति यत्साम स उद्गीथस्तस्मादप्राणन्ननपानन्नुद्गायति ।। 1.3.4 ।। ,।। 1.3.4 ।।
Brihadaranyaka Upanishad,"अतो यान्यन्यानि वीर्यवन्ति कर्माणि यथाग्नेर्मन्थनमाजेः सरणं दृढस्य धनुष आयमनमप्राणन्ननपान , स्तानि करोत्येतस्य हेतोर्व्यानमेवोद्गीथमुपासीत ।। 1.3.5 ।।",।। 1.3.5 ।।
Brihadaranyaka Upanishad,"अथ खलूद्गीथाक्षराण्युपासीतोद्गीथ इति प्राण एवोत्प्राणेन ह्युत्तिष्ठति वाग्गीर्वाचो ह गिर इत्याचक्षतेऽन्नं थमन्ने हीद , सर्व , स्थितम् ।। 1.3.6 ।। ",।। 1.3.6 ।।
Brihadaranyaka Upanishad,"द्यौरेवोदन्तरिक्षं गीः पृथिवी थमादित्य एवोद्वायुर्गीरग्निस्थ ,  सा़मवेद एवोद्यजुर्वेदो गीर्ऋग्वेदस्थं दुग्धेऽस्मै वाग्दोहं यो वाचो दोहोऽन्नवानन्नादो भवति य एतान्येवं विद्वानुद्गीथाक्षराण्युपास्त उद्गीथ इति ।। 1.3.7 ।।  ",।। 1.3.7 ।।
Brihadaranyaka Upanishad,अथ खल्वाशीः समृद्धिरुपसरणानीत्युपासीत येन साम्ना स्तोष्यन्स्यात्तत्सामोपधावेत् ।। 1.3.8 ।। ,।। 1.3.8 ।।
Brihadaranyaka Upanishad,यस्ँयामृचि तामृचं यदार्षेयं तमृषिं यां देवतामभिष्टोष्यन्स्यात्तां देवतामधावेत् ।। 1.3.9 ।। ,।। 1.3.9 ।।
Brihadaranyaka Upanishad,"येन च्छन्दसा स्तोष्यन्स्यात्तच्छन्द उपधावेद्येन स्तोमेन स्तोष्यमाणः स्यात्त , स्तोममुपधावेत् , ।। 1.3.10 ।। ",।। 1.3.10 ।।
Brihadaranyaka Upanishad,यां दिशमभिष्टोष्यन्स्यात्तां दिशमुपधावेत् ।। 1.3.11 ।।,।। 1.3.11 ।।
Brihadaranyaka Upanishad,"आत्मानमन्तत उपसृत्य स्तुवीत कामं ध्यायन्नप्रमत्तोऽभ्याशो ह यदस्मै स कामः समृध्येत यत्कामः स्तुवीतेति यत्कामः स्तुवीतेति ।। 1.3.12 ।।  इति तृतीयाः खण्डः ।। 3 ।।,  ",।। 3 ।।
Brihadaranyaka Upanishad,ओमित्येतदक्षरमुद्गीथमुपासीतोमिति ह्युद्गायति तस्योपव्याख्यानम् ।। 1.4.1 ।। ,।। 1.4.1 ।।
Brihadaranyaka Upanishad,"देवा वै मृत्योर्बिभ्यतस्त्रयीं विद्यां प्राविश , स्ते छन्दोभिरच्छादयन्यदेभिरच्छादयँ् , स्तच्छन्दसां छन्दस्त्वम् ।। 1.4.2 ।। ",।। 1.4.2 ।।
Brihadaranyaka Upanishad,तानु तत्र मृत्युर्यथा मत्स्यमुदके परिपश्येदेवं पर्यपश्यदृचि साम्नि यजुषि ।  ते नु विदित्वोर्ध्वा ऋचः साम्नो यजुषः स्वरमेव प्राविशन् ।। 1.4.3 ।। ,।। 1.4.3 ।।
Brihadaranyaka Upanishad,"यदा वा ऋचमाप्नोत्योमित्येवातिस्वरत्येव ,  सामैवं यजुरेष उ स्वरो यदेतदक्षरमेतदमृतमभयं तत्प्रविश्य देवा अमृता अभया अभवन् ।। 1.4.4 ।। ",।। 1.4.4 ।।
Brihadaranyaka Upanishad,"स य एतदेवं विद्वानक्षरं प्रणौत्येतदेवाक्षर ,  स्वरममृतमभयं प्रवशति तत्प्रविश्य यदमृता देवास्तदमृतो भवति ।। 1.4.5 ।।  इति चतुर्थ खण्डः ।। 4 ।।, ",।। 4 ।।
Brihadaranyaka Upanishad,अथ खलु य उद्गीथः स प्रणवो यः प्रणवः स उद्गीथ इत्यसौ वा आदित्य उद्गीथ एष प्रणव ओमिति ह्येष स्वरन्नेति ।। 1.5.1 ।।,।। 1.5.1 ।।
Brihadaranyaka Upanishad,"एतमु एवाहमभ्यगासिषं तस्मान्मम त्वमेकोऽसीति ह कौषीतकिः पुत्रमुवाच रश्मी , स्तवं पर्यावर्तयाद्बहवो वै ते भविष्यन्तीत्यधिदैवतम् ।। 1.5.2 ।। ",।। 1.5.2 ।।
Brihadaranyaka Upanishad,अथाध्यात्मं य एधायं मुख्यः प्राणस्तमुद्गीथमुपासीतोमिति ह्येष स्वरन्नेति ।। 1.5.3 ।।  ,।। 1.5.3 ।।
Brihadaranyaka Upanishad,"एतमु एवाहमभ्यगासिषं तस्मान्मम त्वमेकोऽसीति ह कौषीतकिः पुत्रमुवाच प्राणा , स्त्वं भूमानमभिगायताद्बहतो वै मे भविष्यन्तीति ।। 1.5.4 ।।",।। 1.5.4 ।।
Brihadaranyaka Upanishad,अथ खलु य उद्गीथः स प्रणवो यः प्रणवः स उद्गीथ इति होतृषदनाद्वैवापि दुरुद्गीतमनुसमाहरतीत्यनुसमाहरतीति ।। 1.5.5 ।। इति पञ्चमः खण्डः ।। 1.5.5 ।।  ,।। 1.5.5 ।।
Brihadaranyaka Upanishad,इयमेवर्गग्निः साम तदेतदेतस्यामृच्यध्यूढँ् साम तस्मादृच्यध्यूढँ् साम गीयत इयमेव साग्निरमस्तत्साम ।। 1.6.1 ।। ,।। 1.6.1 ।।
Brihadaranyaka Upanishad,अन्तरिक्षमेवर्ग्वायुः साम तदेतदेतस्यामृच्यध्यूढँ् साम तस्मादृच्यध्यूढँ् साम गीयतेऽन्तरिक्षमेव सा वायुरमस्तत्साम ।। 1.6.2 ।। ,।। 1.6.2 ।।
