title,mantra,number
Mundaka Upanishad,ब्रह्मा देवानां प्रथमः संबभूव विश्वस्य कर्ता भुवनस्य गोप्ता। स ब्रह्मविद्यां सर्वविद्याप्रतिष्ठामथर्वाय ज्येष्ठपुत्राय प्राह।।1.1.1।।,।।1.1.1।।
Mundaka Upanishad,अथर्वणे यां प्रवदेत ब्रह्माऽथर्वा तां पुरोवाचाङ्गिरे ब्रह्मविद्याम्। स भारद्वाजाय सत्यवहाय प्राह भारद्वाजोऽङ्गिरसे परावराम्।।1.1.2।।,।।1.1.2।।
Mundaka Upanishad,शौनको ह वै महाशालोऽङ्गिरसं विधिवदुपसन्नः पप्रच्छ। कस्मिन्नु भगवो विज्ञाते सर्वमिदं विज्ञातं भवतीति।।1.1.3।।,।।1.1.3।।
Mundaka Upanishad,तस्मै स होवाच। द्वे विद्ये वेदितव्ये इति ह स्म यद्ब्रह्मविदो वदन्ति परा चैवापरा च।।1.1.4।।,।।1.1.4।।
Mundaka Upanishad,तत्रापरा ऋग्वेदो यजुर्वेदः समावेदोऽथर्ववेदः शिक्षा कल्पो व्याकरणं निरूक्तं छन्दो ज्योतिषमिति। अथ परा यया तदक्षरमधिगम्यते।।1.1.5।।,।।1.1.5।।
Mundaka Upanishad,यत्तदद्रेश्यमग्राह्यमगोत्रमवर्णमचक्षुःश्रोत्रं तदपाणिपादम्। नित्यं विभुं सर्वगतं सुसूक्ष्मं तदव्ययं यद्भूतयोनिं परिपश्यन्ति धीराः।।1.1.6।।,।।1.1.6।।
Mundaka Upanishad,यथोर्णनाभिः सृजते गृह्णते च यथा पृथिव्यामोषधयः संभवन्ति। यथा सतः पुरूषात्केशलोमानि तथाक्षरात्संभवतीह विश्वम्।।1.1.7।।,।।1.1.7।।
Mundaka Upanishad,तपसा चीयते ब्रह्म ततोऽन्नमभिजायते। अन्नात्प्राणो मनः सत्यं लोकाः कर्मसु चामृतम्।।1.1.8।।,।।1.1.8।।
Mundaka Upanishad,तपयः सर्वज्ञः सर्वविद्यस्यज्ञानमयं तपः। तस्मादेतद्ब्रह्म नाम रूपमन्नं च जायते।।1.1.9।।,।।1.1.9।।
Mundaka Upanishad,तदेतत्सत्यं मन्त्रेषु कर्माणि कवयो यान्यपश्यंस्तानि त्रेतायां बहुधा संततानि। तान्याचरथ नियतं सत्यकामा एष वः पन्थाः सुकृतस्य लोके।।1.2.1।।,।।1.2.1।।
Mundaka Upanishad,यदा लेलायते ह्यर्चिः समिद्धे हव्यवाहने। तदाज्यभागावन्तरेणाहुतीः प्रतिपादयेत्।।1.2.2।।,।।1.2.2।।
Mundaka Upanishad,यस्याग्निहोत्रमदर्शमपौर्णमासमचातुर्मास्यमनाग्रयणमतिथिवर्जितं च। अहुतमवैश्वदेवमविधिना हुतमासप्तमांस्तस्य लोकान्हिनस्ति।।1.2.3।।,।।1.2.3।।
Mundaka Upanishad,काली कराली च मनोजवा च सुलोहिता या च सुधूम्रवर्णा। स्फुलिङ्गिनी विश्वरूची च देवी लेलायमाना इति सप्त जिह्वाः।।1.2.4।।,।।1.2.4।।
Mundaka Upanishad,एतेषु यश्चरते भ्राजमानेषु यथाकालं चाहुतयो ह्याददायन्। तं नयन्त्येताः सूर्यस्य रश्मयो यत्र देवानां पतिरेकोऽधिवासः।।1.2.5।।,।।1.2.5।।
Mundaka Upanishad,एह्येहीति तमाहुतयः सुवर्चसः सूर्यस्य रश्मिभिर्यजमानं वहन्ति। प्रियां वाचमभिवदन्त्योऽर्चयन्त्य एष वः पुण्यः सुकृतो ब्रह्मलोकः।।1.2.6।।,।।1.2.6।।
Mundaka Upanishad,प्लवा ह्येते अदृढा यज्ञरूपा अष्टादशोक्तमवरं येषु कर्म। एतच्छ्रेयो येऽभिनन्दन्ति मूढा जरामृत्युं ते पुनरेवापियन्ति।।1.2.7।।,।।1.2.7।।
Mundaka Upanishad,अविद्यायामन्तरे वर्तमानाः स्वयं धीराः पण्डितं मन्यमानाः। जङ्घन्यमानाः परियन्ति मूढा अन्धेनैव नीयमाना यथान्धाः।।1.2.8।।,।।1.2.8।।
Mundaka Upanishad,अविद्यायां बहुधा वर्तमाना वयं कृतार्था इत्यभिमन्यन्ति बालाः।  यत्कर्मिणो न प्रवेदयन्ति रागात्तेनातुराः क्षीणलोकाश्चयवन्ते ।।1.2.9।।,।।1.2.9।।
Mundaka Upanishad,इष्टापूर्तं मन्यमाना वरिष्ठं नान्यच्छ्रेयो वेदयन्ते प्रमूढाः।  नाकस्य पृष्ठे ते सुकृतेऽनुभूत्वेमं लोकं हीनतरं वा विशन्ति।।1.2.10।।,।।1.2.10।।
Mundaka Upanishad,तपःश्रद्धे ये ह्युपवसन्त्यरण्ये शान्ता विद्वांसो भैक्षचर्यां चरन्तः।  सूर्यद्वारेण ते विरजाः प्रयान्ति यत्रामृताः स पुरूषो ह्यव्ययात्मा।।1.2.11।।,।।1.2.11।।
Mundaka Upanishad,परीक्ष्य लोकान्कर्मचितान्ब्राह्मणो निर्वेदमायान्नास्त्यकृतः कृतेन।  तद्विज्ञानार्थं स गुरूमेवाभिगच्छेत्समित्पाणिः श्रोत्रियं ब्रह्मनिष्ठम्।।1.2.12।।,।।1.2.12।।
Mundaka Upanishad,तस्मै स विद्वानुपसन्नाय सम्यक् प्रशान्तचित्ताय शमान्विताय।  येनाक्षरं पुरूषं वेद सत्यं प्रोवाच तां तत्त्वतो ब्रह्मविद्याम्।।1.2.13।।,।।1.2.13।।
Mundaka Upanishad,तदेतत्सत्यं यथा सुदीप्तात्पावकाद्विस्फुलिङ्गाः सहस्रशः प्रभवन्ते सरूपाः।  तथाक्षराद्विविधाः सोम्य भावाः प्रजायन्ते तत्र चैवापियन्ति।।2.1.1।।,।।2.1.1।।
Mundaka Upanishad,दिव्यो ह्यमूर्तः पुरूषः सबाह्याभ्यन्तरो ह्यजः।  अप्रणो ह्यमनाः शुभ्रो ह्यक्षरात्परतः परः।।2.1.2।।,।।2.1.2।।
