title,mantra,number
Svetashvatra Upanishad,"हरि । ब्रह्मवादिनो वदन्ति। ,  किं कारणं ब्रह्म कुतः स्म जाता ,    जीवाम केन क्व संप्रतिष्ठः।,      अधिष्ठिताः केन सुखेतरेषु ,         वर्तामहे ब्रह्मविदो व्यवस्थाम्।।1.1.1।।",।।1.1.1।।
Svetashvatra Upanishad,"कालः स्वभावो नियतिर्यदृच्छा भूतानि योनिः पुरुष इति चिन्त्या।,संयोग एषां न त्वात्मभावादात्माप्यनीशः सुखदुःखहेतोः।।1.1.2।।",।।1.1.2।।
Svetashvatra Upanishad,"ते ध्यानयोगानुगता अपश्यन्देवात्मशक्तिं स्वगुणैर्निगूढाम्।,यः कारणानि निखिलानि तानि कालात्मयुक्तान्यधितिष्ठत्येकः।।1.1.3।।",।।1.1.3।।
Svetashvatra Upanishad,"तमेकनेमिं त्रिवृतं षोडशान्तं शतार्धारं विंशतिप्रत्यराभिः।,अष्टकैः ष़ड्भिर्विश्वरूपैकपाशं त्रिमार्गभेदं द्विनिमित्तैकमोहम्।।1.1.4।।",।।1.1.4।।
Svetashvatra Upanishad,"पञ्चस्रोतोम्बुं पञ्चयोन्युग्रवक्रां पञ्चप्राणोर्मिं , पञ्चबुद्धयादिमूलाम्।,पञ्चावर्तां पञ्चदुःखौघवेगां पञ्चशद्भेदां पञ्चपर्वामधीमः।।1.1.5।।",।।1.1.5।।
Svetashvatra Upanishad,"सर्वाजीवे सर्वसंस्थे बृहन्ते अस्मिन्हंसो भ्राम्यते ब्रह्मचक्रे।,पृथगात्मानं प्रेरितारं च मत्वा जुष्टस्ततस्तेनामृतत्वमेति।।1.1.6।।",।।1.1.6।।
Svetashvatra Upanishad,"उद्गीतमेतत्परमं तु ब्रह्म तस्मिंस्त्रयं सुप्रतिष्ठाक्षरं च।,अत्रान्तरं ब्रह्मविदो विदित्वा लीना ब्रह्मणि तत्पराः योनिमुक्ताः।।1.1.7।।",।।1.1.7।।
Svetashvatra Upanishad,"संयुक्तमेतत्क्षरमक्षरं च व्यक्ताव्यक्तं भरते विश्वमीशः।,अनीशश्चात्मा बध्यते भोक्तृभावाज्ज्ञात्वा देवं मुच्यते सर्वपाशैः।।1.1.8।।",।।1.1.8।।
Svetashvatra Upanishad,"ज्ञाज्ञौ द्वावजावीशानीशावजा ह्येका भोक्तृभोग्यार्थयुक्ता।,अनन्तश्चात्मा विश्वरूपो ह्यकर्ता त्रयं यदा विन्दते ब्रह्ममेतत्।।1.1.9।।",।।1.1.9।।
Svetashvatra Upanishad,"क्षरं प्रधानममृताक्षरं हरः क्षरात्मानावीशते देव एकः।,तस्याभिध्यानाद्योजनात्तत्त्वभावाद्भूयश्चान्ते विश्वमायानिवृत्तिः।।1.1.10।।",।।1.1.10।।
Svetashvatra Upanishad,"ज्ञात्वा देवं सर्वपाशापहानिः क्षीणैः क्लेशैर्जन्ममृत्युप्रहाणिः।,तस्याभिध्यानात्तृतीयं देहभेदे विश्वैश्वर्यं केवल आप्तकामः।।1.1.11।।",।।1.1.11।।
Svetashvatra Upanishad,"एतज्ज्ञेयं नित्यमेवात्मसंस्थं नातः परं वेदितव्यं हि किञ्चित्।,भोक्ता भोग्यं प्रेरितारं च मत्वा सर्वं प्रोक्तं त्रिविधं ब्रह्ममेतत्।।1.1.12।।",।।1.1.12।।
Svetashvatra Upanishad,"वह्नेर्यर्था योनिगतस्य मूर्तिर्न दृश्यते नैव च लिङ्गनाशः।,स भूय एवेन्धनयोनिगृह्यस्तद्वोभयं वै प्रणवेन देहे।।1.1.13।।",।।1.1.13।।
