title,mantra,number
Isavasya Upanishad,"0ईशावास्य उपनिषद्, पूर्णमदः पूर्णमिदं पूर्णात्पूर्णमुदच्यते ।,पूर्णस्य पूर्णमादाय पूर्णमेवावशिष्यते ।। , शान्तिः शान्तिः शान्तिः ।। , ईशावास्यमिदँ् सर्वं यत्किञ्च जगत्यां जगत् ।,तेन त्यक्तेन भुञ्जीथा मा गृधः कस्य स्विद्धनम् ।। 1.1.1 ।।",।। 1.1.1 ।।
Isavasya Upanishad,"कुर्वन्नेवेह कर्माणि , जिजीविषेच्छतँ् समाः ।,एवं त्वयि नान्यथेतोऽस्ति न कर्म लिप्यते नरे ।। 1.1.2 ।।",।। 1.1.2 ।।
Isavasya Upanishad,"असुर्या नाम ते लोका अन्धेन तमसाऽऽवृताः ।,ता्ँस्ते प्रेत्याभिगच्छन्ति ये के चात्महनो जनाः ।। 1.1.3 ।।",।। 1.1.3 ।।
Isavasya Upanishad,"अनेजदेकं मनसो जवीयो नैनद्देवा आप्नुवन्पूर्वमर्षत् ।,तद्धावतोऽन्यानत्येति तिष्ठत्तस्मिन्नपो मातरिश्वा दधाति ।। 1.1.4 ।।",।। 1.1.4 ।।
Isavasya Upanishad,"तदेजति तन्नैजति तद्दूरे तद्वन्तिके ।,तदन्तरस्य सर्वस्य तदु सर्वस्यास्य बाह्यतः ।। 1.1.5 ।।",।। 1.1.5 ।।
Isavasya Upanishad,"यस्तु सर्वाणि भूतान्यात्मन्येवानुपश्यति ।,सर्वभूतेषु चात्मानं ततो न विजुगुप्सते ।। 1.1.6 ।।",।। 1.1.6 ।।
Isavasya Upanishad,"यस्मिन्सर्वाणि  भूतान्यात्मैवाभूद्विजानतः ।,तत्र को मोहः कः शोकः एकत्वमनुपश्यतः ।। 1.1.7 ।।",।। 1.1.7 ।।
Isavasya Upanishad,"स पर्यगाच्छुक्रमकायमव्रणमस्नाविरँ् शुद्धमपापविद्धम् ।,कविर्मनीषी परिभूः स्वयंभूर्याथातथ्यतोऽर्थान्व्यदधाच्छाश्वतीभ्यः समाभ्यः ।। 1.1.8 ।।",।। 1.1.8 ।।
Isavasya Upanishad,"अन्धं तमः प्रविशन्ति ये़ऽविद्यामुपासते ।,ततो भूय इव ते तमो य उ विद्याया्ँरताः ।। 1.1.9 ।।",।। 1.1.9 ।।
Isavasya Upanishad,"अन्यदेवाहुर्विद्ययाऽन्यदाहुरविद्यया ।,इति शुश्रुम धीराणां ये नस्तद्विचचक्षिरे ।। 1.1.10 ।।",।। 1.1.10 ।।
Isavasya Upanishad,"विद्यां चाविद्यां च यस्तद्वेदोभयँ् सह ।,अविद्यया मृत्युं तीर्त्वा विद्ययाऽमृतमश्नुते ।। 1.1.11 ।।",।। 1.1.11 ।।
Isavasya Upanishad,"अन्धं तमः प्रविशन्ति येऽसंभूतिमुपासते ।,ततो भूय इव ते तमो य उ संभूत्याँ् रताः ।। 1.1.12 ।।",।। 1.1.12 ।।
Isavasya Upanishad,"अन्यदेवाहुः संभवादन्यदाहुरसंभवात् ।,इति शुश्रुम धीराणां ये नस्तद्विचचक्षिरे ।। 1.1.13 ।।",।। 1.1.13 ।।
Isavasya Upanishad,"संभूतिं च विनाशं च यस्तद्वेदोभयँ् सह ।,विनाशेन मृत्युं तीर्त्वा संभूत्याऽमृतमश्नुते ।। 1.1.14 ।।",।। 1.1.14 ।।
Isavasya Upanishad,"हिरण्मयेन पात्रेण सत्यस्यापिहितं मुखम् ।,तत्त्वं पूषन्नपावृणु सत्यधर्माय दृष्टये ।। 1.1.15 ।।",।। 1.1.15 ।।
Isavasya Upanishad,"पूषन्नेकर्षे यम सूर्य , प्राजापत्य व्यूह रश्मीन् समूह , तेजः । ,यत्ते रूपं कल्याणतमं तत्ते पश्यामि योऽसावसौ पुरूषः सोऽहमस्मि ।। 1.1.16 ।।",।। 1.1.16 ।।
Isavasya Upanishad,"वायुरनिलममृतमथेदं , भस्मान्त्ँशरीरम् ।, क्रतो स्मर कृतँ् स्मर क्रतो स्मर कृतँ् स्मर ।। 1.1.17 ।।",।। 1.1.17 ।।
Isavasya Upanishad,"अग्ने नय सुपथा राये अस्मान्विश्वानि देव वयुनानि विद्वान् ।,युयोध्यस्मज्जुहुराणमेनो भूयिष्ठां ते नम उक्तिं विधेम ।। 1.1.18 ।।",।। 1.1.18 ।।
