title,mantra,number
Taittiriya Upanishad, शं नो मित्रः शं वरुणः। शं नो भवत्वर्यमा। शं न इन्द्रो बृहस्पतिः। शं नो विष्णुरुरुक्रमः। नमो ब्रह्मणे। नमस्ते वायो। त्वेमेव प्रत्यक्षं ब्रह्मासि। त्वामेव प्रत्यक्षं ब्रह्म वदिष्यामि। ऋतं वदिष्यामि। सत्यं वदिष्यामि। तन्मामवतु। तद्वक्तारमवतु। अवतु मां। अवतु वक्तारं। (सत्यं वदिष्यामि इति पञ्च च)।।1.1.1।।,।।1.1.1।।
Taittiriya Upanishad, शीक्षां व्याख्यास्यामः। वर्णः स्वरः। मात्रा बलम्। सामः संतानः। इत्युक्तः शीक्षाध्यायः।।1.2.1।।(शीक्षां पञ्च),।।1.2.1।।
Taittiriya Upanishad,"सह नौ यशः। सह नौ ब्रह्मवर्चसम्। अथातः स्ँहिताया उपनिषदं व्याख्यास्यामः। पञ्चस्वधिकरणेषु। अधिलोकमधिज्यौतिषमधिविद्यमधिप्रजमध्यात्मम्। ता , महास्ँहिता , इत्याचक्षते।।1.3.1।।",।।1.3.1।।
Taittiriya Upanishad,अथाधिलोकम्। पृथिवी पूर्वरूपम्। द्यौरुत्तररूपम्। आकाशः सन्धिः। वायुः सन्धानम्। इत्यधिलोकम्।।13.2।।,।।13.2।।
Taittiriya Upanishad,अथाधिज्यौतिषम्। अग्निः पूर्वरूपम्। आदित्य उत्तररूपम् आपः सन्धिः। वैद्युतः सन्धानम्। इत्यधिज्यौतिषम्।।1.3.3।।,।।1.3.3।।
Taittiriya Upanishad,अथाधिविद्यम्। आचार्यः पूर्वरूपम्। अन्तेवास्युत्तररूपम्। विद्या सन्धिः। प्रवचन्ँसन्धानम्। इत्यधिविद्यम्।।1.3.4।।,।।1.3.4।।
Taittiriya Upanishad,अथाधिप्रजम्। माता पूर्वरूपम्। पितोत्तररूपम्। प्रजा सन्धिः। प्रजनन्ँसन्धानम्।  इत्यधिप्रजम्।।1.3.5।।,।।1.3.5।।
Taittiriya Upanishad,"अथाध्यात्मम्। अधरा हनुः पूर्वरूपम्। उत्तरा हनुरुत्तररूपम्। वाक् सन्धिः। जिह्वा सन्धानम्। इत्यध्यात्मम्। इतीमा , महासँ् हिताः।।1.3.6।।",।।1.3.6।।
Taittiriya Upanishad,य एवमेता महास्ँहिता व्याख्याता वेद। संधीयते प्रजया पशुभिः। ब्रह्मवर्चसेनान्नाद्येन सुवर्ग्येण लोकेन। (संधिराचार्यः पूर्वरूपमित्यधिप्रजं लोकेन)।।1.3.7।।,।।1.3.7।।
Taittiriya Upanishad,यश्छन्दसामृषभो विश्वरूपः। छन्दोभ्योऽध्यमृतात्संबभूव। स मेन्द्रो मेधया स्पृणोतु। अमृतस्य देवधारणो भूयासम्। शरीरं मे विचर्षणम्। जिह्वा मे मधुमत्तमा। कर्णाभ्यां भूरि विश्रुवम्। ब्रह्मणः कोशोऽसि मेधया पिहितः। श्रुतं मे गोपाय।।1.4.1।।,।।1.4.1।।
