title,mantra
Aitereya Upanishad,आत्मा वा इदमेक एवाग्र आसीत्। नान्यत् किंचन मिषत्। स ईक्षत लोकान्नु सृजा इति।।1.1.1।।
Isavasya Upanishad,"0ईशावास्य उपनिषद्, पूर्णमदः पूर्णमिदं पूर्णात्पूर्णमुदच्यते ।,पूर्णस्य पूर्णमादाय पूर्णमेवावशिष्यते ।। , शान्तिः शान्तिः शान्तिः ।। , ईशावास्यमिदँ् सर्वं यत्किञ्च जगत्यां जगत् ।,तेन त्यक्तेन भुञ्जीथा मा गृधः कस्य स्विद्धनम् ।। 1.1.1 ।।"
Mandukya Upanishad,हरिः ।  ओमित्येतदक्षरमिद्ँ सर्वं तस्योपव्याख्यानं भूतं भवद्भविष्यदिति सर्वमोङ्कार एव। यच्चान्यत्त्रिकालातीतं तदप्योङ्कार एव ।। 1.1.1 ।।
Mundaka Upanishad,ब्रह्मा देवानां प्रथमः संबभूव विश्वस्य कर्ता भुवनस्य गोप्ता। स ब्रह्मविद्यां सर्वविद्याप्रतिष्ठामथर्वाय ज्येष्ठपुत्राय प्राह।।1.1.1।।
Kena Upanishad,"0केन उपनिषद्, आप्यायन्तु ममाङ्गानि वाक्प्राणश्चक्षुः श्रोत्रमथो बलमिन्द्रियाणि च सर्वाणि। सर्वं ब्रह्मौपनिषदं माहं ब्रह्म निराकुर्यां मा मा ब्रह्म निराकरोदनिराकरणमस्त्वनिराकरणं मेऽस्तु। तदात्मनि निरते य उपनिषत्सु धर्मास्ते मयि सन्तु ते मयि सन्तु ।।, शान्तिः शान्तिः शान्तिः ।।,प्रथमः खण्डः, केनेषितं पतति प्रेषितं मनः केन प्राणः प्रथमः प्रैति युक्तः ।,केनेषितां वाचमिमां वदन्ति चक्षुः श्रोत्रं क उ देवो युनक्ति ।। 1.1.1 ।।"
Prasna Upanishad, सुकेशा च भारद्वाजः शैब्यश्च सत्यकामः सौर्यायणी च गार्ग्यः कौशल्यश्चाश्वलायनो भार्गवो वैदर्भिः कबन्धी कात्यायनस्ते हैते ब्रह्मपरा ब्रह्मनिष्ठाः परं ब्रह्मान्वेषमाणा एष ह वै तत्सर्वं वक्ष्यतीति ते ह समित्पाणयो भगवन्तं पिप्पलादमुपसन्नाः।।1.1.1।।
Katha Upanishad,तस्य ह नचिकेता नाम पुत्र आस ।। 1.1.1 ।।
Svetashvatra Upanishad,"हरि । ब्रह्मवादिनो वदन्ति। ,  किं कारणं ब्रह्म कुतः स्म जाता ,    जीवाम केन क्व संप्रतिष्ठः।,      अधिष्ठिताः केन सुखेतरेषु ,         वर्तामहे ब्रह्मविदो व्यवस्थाम्।।1.1.1।।"
Karika Upanishad,बहिःप्रज्ञो विभुर्विश्वो ह्यन्तःप्रज्ञस्तु तैजसः ।घनप्रज्ञस्तथा प्राज्ञ एक एव त्रिधा स्थितः ।। 1.1.1 ।।
Brihadaranyaka Upanishad,ओमित्येतदक्षरमुद्गीथमुपासीत ।  ओमिति ह्युद्गायति तस्योपव्याख्यानम् ।। 1.1.1 ।। 
Taittiriya Upanishad, शं नो मित्रः शं वरुणः। शं नो भवत्वर्यमा। शं न इन्द्रो बृहस्पतिः। शं नो विष्णुरुरुक्रमः। नमो ब्रह्मणे। नमस्ते वायो। त्वेमेव प्रत्यक्षं ब्रह्मासि। त्वामेव प्रत्यक्षं ब्रह्म वदिष्यामि। ऋतं वदिष्यामि। सत्यं वदिष्यामि। तन्मामवतु। तद्वक्तारमवतु। अवतु मां। अवतु वक्तारं। (सत्यं वदिष्यामि इति पञ्च च)।।1.1.1।।
Aitereya Upanishad,स इमाँल्लोकानसृजत। अम्भो मरीचीर्मरमापोऽदोऽम्भः परेण दिवं द्यौः प्रतिष्ठाऽन्तरिक्षं मरीचयः। पृथिवी मरो या अधस्तात्ता आपः।।1.1.2।।
Isavasya Upanishad,"कुर्वन्नेवेह कर्माणि , जिजीविषेच्छतँ् समाः ।,एवं त्वयि नान्यथेतोऽस्ति न कर्म लिप्यते नरे ।। 1.1.2 ।।"
Mandukya Upanishad,सर्व्ँह्येतद्ब्रह्मायमात्मा ब्रह्म सोऽयमात्मा चतुष्पात् ।। 1.1.2 ।।
Kena Upanishad,"श्रोत्रस्य श्रोत्रं मनसो मनो यद्वाचो ह वाच्ँस उ प्राणस्य प्राणः ।,चक्षुषश्चक्षुरतिमुच्य धीराः प्रेत्यास्माल्लोकादमृता भवन्ति ।। 1.1.2 ।।"
Brihadaranyaka Upanishad,एषां भूतानां पृथिवी रसः पृथिव्या आपो रसः ।  अपामोषधयो रस ओषधीनां पुरुषो रसः पुरुषस्य वाग्रसो वाच ऋग्रस ऋचः साम रसः साम्न उद्गीथो रसः ।। 1.1.2 ।। 
Mundaka Upanishad,अथर्वणे यां प्रवदेत ब्रह्माऽथर्वा तां पुरोवाचाङ्गिरे ब्रह्मविद्याम्। स भारद्वाजाय सत्यवहाय प्राह भारद्वाजोऽङ्गिरसे परावराम्।।1.1.2।।
Prasna Upanishad,तान्ह स ऋषिरूवाच भूम एव तपसा ब्रह्मचर्येण श्रद्धया संवत्सरं संवत्स्यथ यथाकामं प्रश्नान्पृच्छत यदि विज्ञास्यामः सर्वं ह वो वक्ष्याम इति।।1.1.2।।
Svetashvatra Upanishad,"कालः स्वभावो नियतिर्यदृच्छा भूतानि योनिः पुरुष इति चिन्त्या।,संयोग एषां न त्वात्मभावादात्माप्यनीशः सुखदुःखहेतोः।।1.1.2।।"
Katha Upanishad,त्ँह कुमार्ँसन्तं दक्षिणासु नीयमानासु श्रद्धाविवेश सोऽमन्यत ।। 1.1.2 ।।
